n,chords,source
48,"(0,2) (0,45) (1,43) (3,22) (10,47) (1,7)",empirical shape (0,2)(0,37)(1,35)(3,18)(8,39) scaled + scanned 6th
49,"(0,2) (0,46) (1,44) (3,22) (9,48) (1,42)",empirical shape (0,2)(0,37)(1,35)(3,18)(8,39) scaled + scanned 6th
50,"(0,2) (0,47) (1,45) (3,23) (10,49) (1,43)",empirical shape (0,2)(0,37)(1,35)(3,18)(8,39) scaled + scanned 6th
51,"(0,2) (0,48) (1,46) (3,23) (10,50) (1,44)",empirical shape (0,2)(0,37)(1,35)(3,18)(8,39) scaled + scanned 6th
52,"(0,2) (0,49) (1,47) (3,24) (10,51) (1,45)",empirical shape (0,2)(0,37)(1,35)(3,18)(8,39) scaled + scanned 6th
53,"(0,2) (0,50) (1,48) (3,24) (10,52) (1,46)",empirical shape (0,2)(0,37)(1,35)(3,18)(8,39) scaled + scanned 6th
41,"(0,2) (0,34) (1,13) (3,35) (33,36) (0,13)",empirical shape (0,2)(0,33)(1,13)(3,34)(32,35) scaled + scanned 6th
42,"(0,2) (0,35) (1,14) (3,36) (34,37) (0,4)",empirical shape (0,2)(0,33)(1,13)(3,34)(32,35) scaled + scanned 6th
43,"(0,2) (0,36) (1,14) (3,37) (35,38) (0,18)",empirical shape (0,2)(0,33)(1,13)(3,34)(32,35) scaled + scanned 6th
44,"(0,2) (0,36) (1,14) (3,37) (35,38) (0,39)",empirical shape (0,2)(0,33)(1,13)(3,34)(32,35) scaled + scanned 6th
45,"(0,2) (0,37) (1,14) (3,38) (36,39) (1,17)",empirical shape (0,2)(0,33)(1,13)(3,34)(32,35) scaled + scanned 6th
46,"(0,2) (0,38) (1,15) (3,39) (37,40) (1,11)",empirical shape (0,2)(0,33)(1,13)(3,34)(32,35) scaled + scanned 6th
47,"(0,2) (0,39) (1,15) (3,40) (38,41) (19,40)",empirical shape (0,2)(0,33)(1,13)(3,34)(32,35) scaled + scanned 6th
48,"(0,2) (0,40) (1,16) (3,41) (39,42) (1,12)",empirical shape (0,2)(0,33)(1,13)(3,34)(32,35) scaled + scanned 6th
