n,chords,method,verify_py
62,"(0,2) (0,59) (1,11) (3,58) (3,28) (54,59)",insertion + ILS + joint-2 sweep,pancyclic
63,"(0,2) (0,60) (1,11) (3,59) (3,28) (55,60)",insertion + ILS + joint-2 sweep,pancyclic
64,"(0,2) (0,61) (1,12) (3,60) (4,29) (56,61)",insertion + ILS + joint-2 sweep,pancyclic
66,"(0,2) (0,59) (1,13) (3,60) (4,31) (58,61)",GPU joint 3-of-6 sweep (gpu_joint_sweep.py) around near-miss seed (0,2)(0,63)(1,13)(3,62)(4,31)(58,63),pancyclic
67,"(0,2) (0,60) (1,13) (3,61) (4,31) (59,62)",lift of the n=66 GPU-sweep witness structure (0,2)(0,n-7)(1,13)(3,n-6)(4,31)(n-8,n-5); checked directly,pancyclic
65,"(0,2) (0,58) (1,13) (3,59) (4,31) (57,60)",member of the family (0,2)(0,n-7)(1,13)(3,n-6)(4,31)(n-8,n-5) found by the GPU 3-of-6 sweep at n=66; checked directly,pancyclic
